predicted_category,confidence,total_ingredients,abrasive_scrub,absorbent_mattifier,anti-acne,antimicrobial_antibacterial,antioxidant,astringent,buffering,cell-communicating_ingredient,chelating,colorant,deodorant,emollient,emulsifying,emulsion_stabilising,exfoliant,moisturizer_humectant,perfuming,preservative,skin_brightening,skin-identical_ingredient,solvent,soothing,sunscreen,surfactant_cleansing,viscosity_controlling,abrasive_scrub_binary,absorbent_mattifier_binary,anti-acne_binary,antimicrobial_antibacterial_binary,antioxidant_binary,astringent_binary,buffering_binary,cell-communicating_ingredient_binary,chelating_binary,colorant_binary,deodorant_binary,emollient_binary,emulsifying_binary,emulsion_stabilising_binary,exfoliant_binary,moisturizer_humectant_binary,perfuming_binary,preservative_binary,skin_brightening_binary,skin-identical_ingredient_binary,solvent_binary,soothing_binary,sunscreen_binary,surfactant_cleansing_binary,viscosity_controlling_binary,superstar_count,goodie_count,icky_count,superstar_percentage,goodie_percentage,icky_percentage,avg_irritancy,max_irritancy,avg_comedogenicity,max_comedogenicity,safety_concern_ingredients,function_diversity,total_functions,avg_functions_per_ingredient
Face Moisturizer,1.0,8,0,0,1,0,2,0,0,0,0,0,0,6,1,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,7,0,0.0,0.875,0.0,0.6,3,3.2,4,5,7,15,1.875
Face Serum,1.0,57,0,0,0,0,0,0,4,0,1,0,0,7,4,0,1,0,11,8,0,14,7,2,0,0,5,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,2,17,9,0.03508771929824561,0.2982456140350877,0.15789473684210525,0.625,4,1.0,5,2,11,64,1.1228070175438596
Face Moisturizer,1.0,26,0,0,0,0,1,0,0,1,0,5,0,11,4,0,0,0,1,0,0,2,1,0,0,0,4,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,4,0,0.038461538461538464,0.15384615384615385,0.0,0.18181818181818182,2,0.9090909090909091,4,1,9,30,1.1538461538461537
Exfoliant/Scrub,0.95,19,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,11,1,0.05263157894736842,0.5789473684210527,0.05263157894736842,0.375,3,1.75,4,3,5,20,1.0526315789473684
Face Moisturizer,1.0,16,0,0,0,0,1,0,0,0,0,0,0,7,2,0,0,0,6,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,6,4,0.0,0.375,0.25,1.0,3,2.8333333333333335,5,6,6,19,1.1875
Exfoliant/Scrub,0.95,15,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,10,0,0.06666666666666667,0.6666666666666666,0.0,0.5,3,2.1666666666666665,4,3,5,15,1.0
Face Moisturizer,1.0,37,0,0,0,0,6,0,0,1,0,0,0,16,0,0,0,0,8,1,0,1,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,13,0,0.02702702702702703,0.35135135135135137,0.0,0.75,3,1.75,3,3,8,38,1.027027027027027
Face Serum,0.95,122,0,0,1,0,16,0,2,5,2,4,0,28,6,0,0,0,5,6,6,2,13,12,1,0,7,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,4,30,3,0.03278688524590164,0.2459016393442623,0.02459016393442623,0.5833333333333334,3,1.5,3,5,16,116,0.9508196721311475
Sunscreen,0.95,89,0,0,1,0,7,0,0,2,1,4,0,16,2,0,0,0,10,2,2,10,7,8,3,0,3,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,2,28,9,0.02247191011235955,0.3146067415730337,0.10112359550561797,0.4166666666666667,3,0.8333333333333334,3,3,15,78,0.8764044943820225
Exfoliant/Scrub,0.95,15,0,0,0,0,1,0,0,0,0,1,0,7,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,7,0,0.06666666666666667,0.4666666666666667,0.0,0.0,0,1.8571428571428572,4,3,6,13,0.8666666666666667
Face Moisturizer,0.8,8,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.625,0.0,1.5,3,1.5,3,2,2,8,1.0
Face Moisturizer,1.0,22,0,0,0,0,5,0,0,0,0,0,0,15,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,11,1,0.0,0.5,0.045454545454545456,0.45454545454545453,3,2.3636363636363638,4,7,5,24,1.0909090909090908
Shampoo,0.95,36,0,0,1,0,2,0,1,0,1,0,0,7,3,0,0,0,4,3,0,3,3,2,1,0,3,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,7,1,0.027777777777777776,0.19444444444444445,0.027777777777777776,0.3333333333333333,1,1.5,4,1,13,34,0.9444444444444444
Body Moisturizer,0.95,23,0,0,0,0,3,0,0,0,0,0,0,13,5,0,0,0,1,1,0,1,1,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,10,1,0.043478260869565216,0.43478260869565216,0.043478260869565216,0.7272727272727273,3,1.9090909090909092,4,4,9,31,1.3478260869565217
Face Moisturizer,0.8,29,0,0,0,0,0,0,0,0,1,0,0,8,3,0,0,0,2,1,0,2,5,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,10,0,0.034482758620689655,0.3448275862068966,0.0,0.16666666666666666,1,1.0,2,0,9,28,0.9655172413793104
Face Moisturizer,1.0,31,0,0,0,0,2,0,1,0,1,3,0,6,4,0,0,0,5,4,0,1,4,1,0,0,4,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,5,5,0.03225806451612903,0.16129032258064516,0.16129032258064516,1.0,3,1.4,4,4,12,36,1.1612903225806452
Face Moisturizer,0.8235294117647058,45,0,0,0,0,2,0,3,3,1,0,0,8,7,0,0,0,0,2,1,8,4,1,0,0,6,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,18,0,0.022222222222222223,0.4,0.0,0.6,3,1.0,3,2,12,46,1.0222222222222221
Face Moisturizer,0.8,21,0,0,0,0,3,0,0,0,1,0,0,10,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,10,0,0.047619047619047616,0.47619047619047616,0.0,0.5,3,2.1666666666666665,3,4,7,19,0.9047619047619048
Face Moisturizer,1.0,8,0,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,5,2,0.0,0.625,0.25,1.0,3,2.3333333333333335,3,2,6,14,1.75
Face Moisturizer,1.0,17,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,8,5,0.0,0.47058823529411764,0.29411764705882354,1.0,3,1.6666666666666667,3,2,5,15,0.8823529411764706
Face Moisturizer,1.0,26,0,0,0,0,2,0,1,0,0,3,0,5,1,0,0,0,0,3,0,1,1,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,4,1,0.038461538461538464,0.15384615384615385,0.038461538461538464,0.42857142857142855,3,1.4285714285714286,4,3,9,20,0.7692307692307693
Face Cleanser,0.95,39,0,0,1,0,6,0,0,0,0,0,0,15,6,0,0,0,4,2,0,1,1,6,0,0,4,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,13,1,0.02564102564102564,0.3333333333333333,0.02564102564102564,0.6666666666666666,3,1.75,4,4,10,46,1.1794871794871795
Body Moisturizer,0.95,23,0,0,0,0,6,0,0,0,0,0,0,16,2,0,0,0,3,0,0,1,0,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,12,1,0.0,0.5217391304347826,0.043478260869565216,0.8333333333333334,3,2.0,4,3,7,35,1.5217391304347827
Face Moisturizer,1.0,31,0,0,0,0,0,0,2,0,1,3,0,6,2,0,0,0,1,3,1,1,4,1,0,0,5,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,1,1,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.0,0,0.0,0,0,12,30,0.967741935483871
Face Moisturizer,1.0,32,0,0,0,0,2,0,1,0,1,0,0,9,4,0,0,0,10,1,0,1,3,2,0,0,2,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,6,9,0.03125,0.1875,0.28125,1.1111111111111112,3,1.8888888888888888,3,4,11,36,1.125
Face Moisturizer,0.8,27,0,0,0,0,2,0,1,0,0,0,0,15,5,0,0,0,2,1,0,2,3,2,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,6,1,0.037037037037037035,0.2222222222222222,0.037037037037037035,0.4444444444444444,3,1.6666666666666667,3,4,10,36,1.3333333333333333
Face Moisturizer,0.8235294117647058,53,0,0,1,0,8,0,1,2,1,0,0,14,6,0,0,0,2,2,0,4,5,7,0,0,12,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,14,0,0.018867924528301886,0.2641509433962264,0.0,0.08333333333333333,1,0.75,2,0,13,65,1.2264150943396226
Face Mask,0.95,38,0,0,0,0,3,0,0,0,1,0,0,7,5,0,0,0,8,3,0,2,7,4,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,8,8,0.02631578947368421,0.21052631578947367,0.21052631578947367,0.08333333333333333,1,0.5,2,0,10,43,1.131578947368421
Face Mask,0.95,18,0,0,1,0,0,0,0,1,0,0,0,9,3,0,0,0,4,1,0,3,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,6,0,0.05555555555555555,0.3333333333333333,0.0,0.0,0,1.8,4,1,8,27,1.5
Face Moisturizer,1.0,30,0,0,0,0,1,0,1,0,1,4,0,13,1,0,0,0,6,0,0,2,3,0,0,0,5,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,5,3,0.03333333333333333,0.16666666666666666,0.1,0.0,0,1.4615384615384615,4,3,10,37,1.2333333333333334
Face Cleanser,0.8695652173913043,14,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,3,1,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.4,2,1.0,2,0,6,16,1.1428571428571428
Face Moisturizer,1.0,23,0,0,0,0,0,0,1,0,0,0,0,11,3,0,0,0,2,3,0,1,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,3,1,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.9,3,2.2,4,5,8,28,1.2173913043478262
Face Serum,1.0,11,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,6,0,0.09090909090909091,0.5454545454545454,0.0,0.0,0,2.0,4,1,5,9,0.8181818181818182
Face Moisturizer,1.0,42,0,0,0,0,4,0,1,2,2,0,0,13,4,0,0,0,2,1,0,2,3,2,0,0,6,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,9,0,0.023809523809523808,0.21428571428571427,0.0,0.7,3,1.3,3,3,12,42,1.0
Face Moisturizer,1.0,31,0,0,0,0,4,0,1,0,0,1,0,18,1,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,8,0,0.0,0.25806451612903225,0.0,0.5,3,1.9,3,5,8,34,1.096774193548387
Face Serum,0.95,55,0,0,0,0,7,0,1,0,2,0,0,12,4,0,1,0,8,2,2,4,3,1,0,0,4,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,2,16,2,0.03636363636363636,0.2909090909090909,0.03636363636363636,0.75,3,1.5,3,5,13,51,0.9272727272727272
Face Serum,1.0,43,0,0,2,0,3,0,5,2,2,0,0,6,6,0,2,0,4,4,0,2,4,3,0,0,3,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,4,7,2,0.09302325581395349,0.16279069767441862,0.046511627906976744,0.625,3,1.625,3,4,14,48,1.1162790697674418
Face Moisturizer,1.0,34,0,0,0,0,2,0,0,0,0,9,0,14,1,0,0,0,3,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0.0,0.08823529411764706,0.0,0.5,3,1.1,3,3,7,36,1.0588235294117647
Face Moisturizer,1.0,38,0,0,0,0,5,0,1,0,1,1,0,12,5,0,0,0,3,3,0,1,2,0,0,0,4,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,7,1,0.02631578947368421,0.18421052631578946,0.02631578947368421,0.8571428571428571,3,1.5714285714285714,3,3,11,38,1.0
Face Moisturizer,0.8,48,0,0,0,0,5,0,2,0,2,0,0,19,7,0,0,0,3,6,1,6,1,3,0,0,5,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,3,17,1,0.0625,0.3541666666666667,0.020833333333333332,0.6428571428571429,3,1.8571428571428572,4,6,12,60,1.25
Face Moisturizer,0.8235294117647058,72,0,0,1,0,2,0,0,2,0,0,0,35,11,0,0,0,4,3,1,7,9,3,0,0,14,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,23,0,0.027777777777777776,0.3194444444444444,0.0,0.782608695652174,4,1.6521739130434783,5,8,12,92,1.2777777777777777
Face Moisturizer,0.95,50,0,0,0,0,5,0,2,3,1,0,0,9,3,0,0,0,2,4,1,2,8,3,0,0,6,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,11,1,0.04,0.22,0.02,0.4166666666666667,3,1.0833333333333333,4,4,13,49,0.98
Face Moisturizer,0.95,50,0,0,0,0,8,0,4,2,0,0,0,14,3,0,1,0,5,3,1,3,2,0,0,0,4,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,3,10,3,0.06,0.2,0.06,0.9090909090909091,3,2.0,5,5,12,50,1.0
Face Serum,1.0,36,0,0,2,0,4,0,0,2,1,0,0,8,2,0,0,0,6,4,1,3,1,3,0,0,4,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,10,2,0.05555555555555555,0.2777777777777778,0.05555555555555555,0.5,2,1.125,3,2,13,41,1.1388888888888888
Face Serum,0.95,13,0,0,0,0,4,0,0,1,0,0,0,6,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,2,0.0,0.5384615384615384,0.15384615384615385,1.25,3,2.25,3,4,5,16,1.2307692307692308
Brightening Treatment,0.95,47,0,0,0,0,6,0,1,0,1,0,0,16,10,0,0,0,5,2,4,4,3,2,0,0,5,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,11,1,0.0425531914893617,0.23404255319148937,0.02127659574468085,0.6428571428571429,3,1.7857142857142858,3,5,12,59,1.2553191489361701
Face Serum,0.95,40,0,0,1,0,5,0,1,5,1,0,0,8,1,0,0,0,1,0,4,3,0,7,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,2,24,0,0.05,0.6,0.0,0.5,2,1.5,3,2,11,37,0.925
Face Moisturizer,0.95,33,0,0,0,0,1,0,1,0,0,3,0,8,3,0,1,0,5,1,0,1,5,1,0,0,5,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,2,3,3,0.06060606060606061,0.09090909090909091,0.09090909090909091,1.0,3,1.3333333333333333,3,3,12,35,1.0606060606060606
Face Mask,0.95,42,0,0,0,0,3,0,2,0,1,0,0,7,3,0,0,0,3,3,1,3,4,1,0,0,3,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,7,1,0.023809523809523808,0.16666666666666666,0.023809523809523808,0.7142857142857143,3,1.5714285714285714,3,3,12,34,0.8095238095238095
Face Moisturizer,1.0,24,0,0,0,0,3,0,0,0,0,1,0,11,2,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,6,2,0.0,0.25,0.08333333333333333,0.625,3,1.625,4,4,8,24,1.0
Face Moisturizer,0.9,10,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0.0,0.2,0.0,2.5,3,3.0,3,3,5,9,0.9
Face Mask,0.95,45,0,0,0,0,2,0,1,1,1,1,0,16,6,0,0,0,3,5,0,2,3,0,0,0,5,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,8,1,0.022222222222222223,0.17777777777777778,0.022222222222222223,0.6,3,1.6,4,5,12,46,1.0222222222222221
Face Serum,0.95,18,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,1,1,3,1,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,6,0,0.0,0.3333333333333333,0.0,1.0,2,2.0,3,1,9,19,1.0555555555555556
Face Moisturizer,0.875,45,0,0,0,0,2,0,3,1,1,1,0,9,4,0,0,0,5,5,0,2,4,0,0,0,6,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,4,3,0.022222222222222223,0.08888888888888889,0.06666666666666667,0.75,3,1.25,3,3,12,43,0.9555555555555556
Face Serum,0.95,30,0,0,0,0,1,0,2,1,1,0,0,6,2,0,0,0,1,4,0,2,3,0,0,0,3,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,5,0,0.03333333333333333,0.16666666666666666,0.0,1.3333333333333333,3,1.6666666666666667,3,5,11,26,0.8666666666666667
Face Serum,0.95,22,0,0,0,0,3,0,0,0,0,0,0,9,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,8,2,0.0,0.36363636363636365,0.09090909090909091,1.75,3,3.0,3,5,5,18,0.8181818181818182
Brightening Treatment,0.95,46,0,0,0,0,7,0,2,0,0,0,0,13,8,0,0,0,6,2,4,2,4,2,0,0,6,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,8,4,0.043478260869565216,0.17391304347826086,0.08695652173913043,0.6923076923076923,3,1.5384615384615385,3,4,11,56,1.2173913043478262
Face Serum,0.8,42,0,0,0,0,5,0,4,2,1,1,0,7,5,0,2,0,3,3,1,1,3,2,1,0,4,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,3,8,3,0.07142857142857142,0.19047619047619047,0.07142857142857142,0.625,3,1.375,3,3,16,45,1.0714285714285714
Face Moisturizer,0.8,46,0,0,0,0,2,0,2,1,1,1,0,15,5,0,0,0,6,4,0,2,4,0,0,0,7,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,5,3,0.021739130434782608,0.10869565217391304,0.06521739130434782,0.6153846153846154,3,1.0,3,3,12,50,1.0869565217391304
Face Serum,0.95,64,0,0,0,0,4,0,9,3,2,2,0,12,8,0,4,0,4,4,0,2,6,2,2,0,8,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,5,9,3,0.078125,0.140625,0.046875,0.75,3,1.5833333333333333,3,6,15,72,1.125
Face Moisturizer,1.0,37,0,0,1,0,1,0,0,0,2,2,0,10,3,0,1,0,8,4,0,1,3,1,0,0,8,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,2,4,3,0.05405405405405406,0.10810810810810811,0.08108108108108109,0.625,3,1.25,3,3,13,45,1.2162162162162162
Face Serum,0.95,32,0,0,1,0,2,0,1,1,1,0,0,8,2,0,0,0,2,2,2,2,6,0,0,0,2,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,2,4,0,0.0625,0.125,0.0,0.3333333333333333,2,1.4444444444444444,3,2,13,32,1.0
Face Moisturizer,1.0,21,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,5,8,0.0,0.23809523809523808,0.38095238095238093,0.6666666666666666,2,2.0,3,2,5,24,1.1428571428571428
Face Moisturizer,0.95,39,0,0,0,0,3,0,1,0,1,1,0,16,4,0,0,0,4,3,1,1,4,0,0,0,5,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,4,1,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.7,3,1.5,3,4,12,44,1.1282051282051282
Face Moisturizer,1.0,41,0,0,0,0,5,0,3,2,1,0,0,11,4,0,0,0,2,6,1,2,3,2,0,0,4,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,8,1,0.04878048780487805,0.1951219512195122,0.024390243902439025,0.75,3,1.375,4,7,13,46,1.1219512195121952
Face Serum,0.95,27,0,0,0,0,5,0,2,0,1,0,0,8,3,0,0,0,4,3,0,2,2,1,0,0,3,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,7,1,0.037037037037037035,0.25925925925925924,0.037037037037037035,0.5,2,1.5,3,1,11,34,1.2592592592592593
Face Mask,0.95,22,0,0,0,0,2,0,0,0,0,5,0,10,3,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,6,1,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.5555555555555556,3,1.0,3,4,7,25,1.1363636363636365
Face Serum,0.95,21,0,0,2,0,1,0,3,0,0,0,0,1,2,0,2,0,2,1,0,1,6,2,0,0,3,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,3,1,2,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.3333333333333333,1,0.6666666666666666,2,0,12,26,1.2380952380952381
Face Serum,0.95,41,0,0,0,0,3,0,2,1,1,0,0,6,2,0,1,0,2,4,0,4,3,1,1,0,3,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,9,1,0.024390243902439025,0.21951219512195122,0.024390243902439025,1.0,3,1.8571428571428572,4,4,14,34,0.8292682926829268
Face Moisturizer,1.0,31,0,0,0,0,2,0,1,0,0,1,0,7,0,0,0,0,3,4,2,1,3,1,0,0,3,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,2,3,1,0.06451612903225806,0.0967741935483871,0.03225806451612903,1.0,3,1.4,3,3,11,28,0.9032258064516129
Face Serum,0.95,30,0,0,0,0,1,0,0,0,1,3,0,7,1,0,0,0,4,1,0,1,4,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,6,2,0.03333333333333333,0.2,0.06666666666666667,0.7142857142857143,3,1.2857142857142858,3,4,10,26,0.8666666666666667
Face Moisturizer,0.8888888888888888,42,0,0,1,0,6,0,0,3,0,0,0,10,8,0,0,0,2,0,1,2,5,4,0,0,8,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,2,12,1,0.047619047619047616,0.2857142857142857,0.023809523809523808,0.4166666666666667,2,0.8333333333333334,2,0,11,50,1.1904761904761905
Face Serum,0.95,32,0,0,0,0,2,0,1,1,0,0,0,7,5,0,0,0,3,5,1,1,4,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,7,0,0.03125,0.21875,0.0,1.0,3,1.0,3,3,12,33,1.03125
Face Serum,0.95,60,0,0,0,0,7,0,2,0,2,0,0,11,2,0,1,0,9,4,1,4,3,1,0,0,4,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,2,15,2,0.03333333333333333,0.25,0.03333333333333333,0.5555555555555556,3,1.7777777777777777,3,5,13,51,0.85
Face Serum,0.8,33,0,0,1,0,5,0,1,1,1,0,0,10,4,0,0,0,1,1,4,1,4,2,0,0,2,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,3,8,1,0.09090909090909091,0.24242424242424243,0.030303030303030304,1.0,3,1.6,3,3,14,38,1.1515151515151516
Face Moisturizer,0.95,35,0,0,0,0,4,0,1,1,1,0,0,11,6,0,0,0,4,1,0,1,2,3,0,0,3,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,9,1,0.02857142857142857,0.2571428571428571,0.02857142857142857,0.5833333333333334,3,1.5,4,5,12,38,1.0857142857142856
Face Serum,0.95,33,0,0,0,0,4,0,1,0,1,1,0,7,1,0,0,0,3,6,0,2,3,1,0,0,5,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,4,2,0.030303030303030304,0.12121212121212122,0.06060606060606061,1.0,3,1.4,3,3,12,35,1.0606060606060606
