predicted_category,confidence,total_ingredients,abrasive_scrub,absorbent_mattifier,anti-acne,antimicrobial_antibacterial,antioxidant,astringent,buffering,cell-communicating_ingredient,chelating,colorant,deodorant,emollient,emulsifying,emulsion_stabilising,exfoliant,moisturizer_humectant,perfuming,preservative,skin_brightening,skin-identical_ingredient,solvent,soothing,sunscreen,surfactant_cleansing,viscosity_controlling,abrasive_scrub_binary,absorbent_mattifier_binary,anti-acne_binary,antimicrobial_antibacterial_binary,antioxidant_binary,astringent_binary,buffering_binary,cell-communicating_ingredient_binary,chelating_binary,colorant_binary,deodorant_binary,emollient_binary,emulsifying_binary,emulsion_stabilising_binary,exfoliant_binary,moisturizer_humectant_binary,perfuming_binary,preservative_binary,skin_brightening_binary,skin-identical_ingredient_binary,solvent_binary,soothing_binary,sunscreen_binary,surfactant_cleansing_binary,viscosity_controlling_binary,superstar_count,goodie_count,icky_count,superstar_percentage,goodie_percentage,icky_percentage,avg_irritancy,max_irritancy,avg_comedogenicity,max_comedogenicity,safety_concern_ingredients,function_diversity,total_functions,avg_functions_per_ingredient
Face Serum,0.95,34,0,0,0,0,2,0,1,1,1,0,0,12,6,0,0,0,0,2,0,2,4,0,0,0,6,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,2,2,0,0.058823529411764705,0.058823529411764705,0.0,0.125,1,0.75,3,1,10,37,1.088235294117647
Face Serum,1.0,39,0,0,0,0,6,0,1,2,1,0,0,11,6,0,1,0,2,1,0,6,4,9,0,0,6,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,2,17,0,0.05128205128205128,0.4358974358974359,0.0,0.4444444444444444,3,1.1111111111111112,3,3,13,56,1.435897435897436
Face Serum,1.0,39,0,0,0,0,6,0,1,2,1,0,0,11,6,0,1,0,2,1,0,6,4,9,0,0,5,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,2,17,0,0.05128205128205128,0.4358974358974359,0.0,0.4444444444444444,3,1.1111111111111112,3,3,13,55,1.4102564102564104
Face Mask,0.95,20,0,0,0,0,4,0,1,1,0,0,0,4,3,0,0,0,1,0,1,2,0,1,0,0,3,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,2,5,1,0.1,0.25,0.05,1.4,3,1.6,3,2,10,21,1.05
Conditioner,0.95,21,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,10,4,0,1,4,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,8,0.047619047619047616,0.0,0.38095238095238093,0.2,1,1.0,2,0,9,28,1.3333333333333333
Sunscreen,0.95,44,0,0,1,0,1,0,1,1,1,2,0,5,4,0,1,0,2,4,0,3,3,2,5,0,5,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,2,8,2,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.08333333333333333,1,0.5833333333333334,2,0,16,41,0.9318181818181818
Face Moisturizer,0.8,28,0,0,0,0,1,0,2,0,1,0,0,8,5,0,1,0,2,1,0,1,3,0,0,0,7,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,2,0,1,0.07142857142857142,0.0,0.03571428571428571,0.16666666666666666,1,1.0,2,0,11,32,1.1428571428571428
Face Mask,0.95,27,0,0,0,0,1,0,2,0,0,6,0,6,3,0,0,0,7,4,0,0,3,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,2,6,0.0,0.07407407407407407,0.2222222222222222,0.16666666666666666,1,1.3333333333333333,4,1,9,34,1.2592592592592593
Face Moisturizer,1.0,33,0,0,1,0,3,0,1,0,1,0,0,8,2,0,1,0,5,4,3,3,2,2,0,0,7,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,3,6,1,0.09090909090909091,0.18181818181818182,0.030303030303030304,0.0,0,0.7142857142857143,2,0,14,43,1.303030303030303
Face Moisturizer,1.0,21,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,11,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,6,0.0,0.047619047619047616,0.2857142857142857,1.5,3,2.5,5,2,6,22,1.0476190476190477
